# x 	 y 
16	32
18	32
20	32
22	32
24	32
26	32


46	22
48	22
50	22


0	22
2	22
4	22


7	23
9	23
11	23
13	23
15	23
17	23


14	0
16	0
18	0
20	0
22	0
24	0


18	44
20	44
22	44
24	44
26	44
28	44


47	29
49	29
50	29


0	29
1	29
3	29
5	29
7	29


0	10
1	9
2	8
3	7
4	6
5	5


49	35
50	34


0	34
1	33
2	32
3	31
4	30


35	19
37	19
39	19
41	19
43	19
45	19


43	37
44	36
45	35
46	34
47	33
48	32


46	40
47	39
48	38
49	37
50	36


0	36
1	35


14	26
16	26
18	26
20	26
22	26
24	26


41	5
43	5
45	5
47	5
49	5
50	5


0	5
1	5


15	37
17	37
19	37
21	37
23	37
25	37


2	44
3	45
4	46
5	47
6	48
7	49


1	47
2	48
3	49
4	50


4	0
5	1
6	2


50	28


0	28
2	28
4	28
6	28
8	28


38	28
39	27
40	26
41	25
42	24
43	23


5	39
6	38
7	37
8	36
9	35
10	34


6	44
7	45
8	46
9	47
10	48
11	49


47	9
48	10
49	11
50	12


0	12
1	13
2	14


16	50
17	49
18	48
19	47
20	46
21	45


42	42
43	41
44	40
45	39
46	38
47	37


31	11
33	11
35	11
37	11
39	11
41	11


46	10
47	11
48	12
49	13
50	14


0	14
1	15


13	39
15	39
17	39
19	39
21	39
23	39


30	20
31	21
32	22
33	23
34	24
35	25


18	6
20	6
22	6
24	6
26	6
28	6


28	28
29	29
30	30
31	31
32	32
33	33


42	6
44	6
46	6
48	6
50	6


0	6


20	16
22	16
24	16
26	16
28	16
30	16


21	15
22	14
23	13
24	12
25	11
26	10


22	18
23	19
24	20
25	21
26	22
27	23


44	14
45	15
46	16
47	17
48	18
49	19


5	25
7	25
9	25
11	25
13	25
15	25


4	16
5	15
6	14
7	13
8	12
9	11


29	27
30	28
31	29
32	30
33	31
34	32


15	13
16	14
17	15
18	16
19	17
20	18


32	42
33	41
34	40
35	39
36	38
37	37


7	27
9	27
11	27
13	27
15	27
17	27


3	11
4	10
5	9
6	8
7	7
8	6


10	4
12	4
14	4
16	4
18	4
20	4


14	38
16	38
18	38
20	38
22	38
24	38


29	1
30	0


30	50
31	49
32	48
33	47
34	46


39	43
40	44
41	45
42	46
43	47
44	48


28	10
29	9
30	8
31	7
32	6
33	5


50	24


0	24
2	24
4	24
6	24
8	24


26	2
27	1
28	0


28	50
29	49
30	48
31	47


7	15
8	14
9	13
10	12
11	11
12	10


24	4
26	4
28	4
30	4
32	4
34	4


27	35
29	35
31	35
33	35
35	35
37	35


9	45
11	45
13	45
15	45
17	45
19	45


34	26
35	27
36	28
37	29
38	30
39	31


1	3
3	3
5	3
7	3
9	3
11	3


35	13
36	14
37	15
38	16
39	17
40	18


40	30
41	29
42	28
43	27
44	26
45	25


40	14
41	13
42	12
43	11
44	10
45	9


10	30
11	31
12	32
13	33
14	34
15	35


41	49
42	50


42	0
43	1
44	2
45	3
46	4


37	25
38	24
39	23
40	22
41	21
42	20


15	43
17	43
19	43
21	43
23	43
25	43


1	17
3	17
5	17
7	17
9	17
11	17


25	41
26	40
27	39
28	38
29	37
30	36


13	31
15	31
17	31
19	31
21	31
23	31


50	40


0	40
2	40
4	40
6	40
8	40


46	26
48	26
50	26


0	26
2	26
4	26


41	7
43	7
45	7
47	7
49	7
50	7


0	7
1	7


30	24
31	25
32	26
33	27
34	28
35	29


17	19
18	20
19	21
20	22
21	23
22	24


34	44
35	43
36	42
37	41
38	40
39	39


15	33
17	33
19	33
21	33
23	33
25	33


17	25
19	25
21	25
23	25
25	25
27	25


22	4
23	3
24	2
25	1
26	0


26	50
27	49


2	20
4	20
6	20
8	20
10	20
12	20


1	43
3	43
5	43
7	43
9	43
11	43


2	42
4	42
6	42
8	42
10	42
12	42


12	22
13	21
14	20
15	19
16	18
17	17


44	46
45	47
46	48
47	49
48	50


48	0
49	1


11	1
13	1
15	1
17	1
19	1
21	1


47	35
48	34
49	33
50	32


0	32
1	31
2	30


45	41
46	42
47	43
48	44
49	45
50	46


18	14
19	13
20	12
21	11
22	10
23	9


26	18
28	18
30	18
32	18
34	18
36	18


11	41
13	41
15	41
17	41
19	41
21	41


37	47
38	48
39	49
40	50


40	0
41	1
42	2


34	42
35	41
36	40
37	39
38	38
39	37


11	5
12	6
13	7
14	8
15	9
16	10


5	11
6	10
7	9
8	8
9	7
10	6


2	38
3	37
4	36
5	35
6	34
7	33


28	20
29	21
30	22
31	23
32	24
33	25


27	13
28	12
29	11
30	10
31	9
32	8


46	2
48	2
50	2


0	2
2	2
4	2


45	13
46	14
47	15
48	16
49	17
50	18


12	40
14	40
16	40
18	40
20	40
22	40


24	30
25	29
26	28
27	27
28	26
29	25


40	42
41	41
42	40
43	39
44	38
45	37


12	28
14	28
16	28
18	28
20	28
22	28


32	0
33	1
34	2
35	3
36	4
37	5


13	5
15	5
17	5
19	5
21	5
23	5


48	42
49	43
50	44


0	44
1	45
2	46
3	47


21	19
22	20
23	21
24	22
25	23
26	24


10	36
12	36
14	36
16	36
18	36
20	36


18	8
20	8
22	8
24	8
26	8
28	8


40	46
41	47
42	48
43	49
44	50


44	0
45	1


36	32
37	33
38	34
39	35
40	36
41	37


